Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
511730,BYLD,BYLD Capital Finance Ltd,01 Jan 2026,Right Issue of Equity Shares ,01 Jan 2026,-,-,01 Jan 2026,01 Jan 2026,-
530715,ALPSINDUS,Alps Industries Ltd,02 Jan 2026,Resolution Plan -Suspension ,02 Jan 2026,-,-,02 Jan 2026,02 Jan 2026,-
543378,CWD,CWD Ltd,02 Jan 2026,Bonus issue 4:1,02 Jan 2026,-,-,02 Jan 2026,02 Jan 2026,-
512377,MAGANTR,Magnanimous Trade & finance Ltd,02 Jan 2026,Bonus issue 23:1,02 Jan 2026,-,-,02 Jan 2026,02 Jan 2026,-
534091,MCX,Multi Commodity Exchange of India Ltd,02 Jan 2026,Stock  Split From Rs.10/- to Rs.2/-,02 Jan 2026,-,-,02 Jan 2026,02 Jan 2026,-
511557,PROFINC,Pro Fin Capital Services Ltd,02 Jan 2026,Bonus issue 1:1,02 Jan 2026,-,-,02 Jan 2026,02 Jan 2026,-
543252,FAIRCHEMOR,Fairchem Organics Ltd,05 Jan 2026,Buy Back of Shares ,05 Jan 2026,-,-,05 Jan 2026,05 Jan 2026,-
544235,ORIENTTECH,Orient Technologies Ltd,05 Jan 2026,Bonus issue 1:10,05 Jan 2026,-,-,05 Jan 2026,05 Jan 2026,-
542012,A1L,A-1 Ltd,08 Jan 2026,Stock  Split From Rs.10/- to Rs.1/-,08 Jan 2026,-,-,08 Jan 2026,08 Jan 2026,-
501270,ANTARIKSH,Antariksh Industries Ltd,09 Jan 2026,Bonus issue 1:10,09 Jan 2026,-,-,09 Jan 2026,09 Jan 2026,-
542543,ENERGYINF,Energy Infrastructure Trust,09 Jan 2026,Income Distribution (InvIT) ,09 Jan 2026,-,-,09 Jan 2026,09 Jan 2026,-
540252,VSL,Viram Suvarn Ltd,09 Jan 2026,Right Issue of Equity Shares ,09 Jan 2026,-,-,09 Jan 2026,09 Jan 2026,-
532143,SKMEGGPROD,SKM Egg Products Export (India) Ltd,12 Jan 2026,Stock  Split From Rs.10/- to Rs.5/-,12 Jan 2026,-,-,12 Jan 2026,12 Jan 2026,-
