Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,23 Dec 2024,26 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 PE 335,503850.00,1500.00,502875.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,20 Dec 2024,20 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 PE 335,504900.00,1500.00,507000.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,01 Feb 2025,27 Feb 2025,16 Jun 2026,,Options,PETRONET OPT 27/02/2025 CE 335,506250.00,1500.00,502500.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,18 Dec 2024,26 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 335,1021500.00,3000.00,1035450.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,16 Dec 2024,20 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 335,1528650.00,4500.00,1545750.00,4500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,13 Dec 2024,20 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 335,1027350.00,3000.00,1029600.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,04 Dec 2024,20 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 335,2069475.00,6000.00,2060400.00,6000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,04 Dec 2024,04 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 338,2076150.00,6000.00,2100000.00,6000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,29 Nov 2024,29 Nov 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 363,546450.00,1500.00,546600.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,29 Nov 2024,29 Nov 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 340,521100.00,1500.00,522750.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,29 Nov 2024,20 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 335,512475.00,1500.00,515250.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,03 Dec 2024,11 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 338,518850.00,1500.00,519225.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,02 Dec 2024,11 Dec 2024,16 Jun 2026,,Options,PETRONET OPT 26/12/2024 CE 338,1560150.00,4500.00,1557675.00,4500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,19 Nov 2024,21 Nov 2024,16 Jun 2026,,Options,PETRONET OPT 28/11/2024 CE 323,486750.00,1500.00,488325.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,21 Nov 2024,28 Nov 2024,16 Jun 2026,,Options,PETRONET OPT 28/11/2024 PE 318,484500.00,1500.00,477750.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,18 Nov 2024,19 Nov 2024,16 Jun 2026,,Options,PETRONET OPT 28/11/2024 CE 323,1948800.00,6000.00,1953000.00,6000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,13 Nov 2024,14 Nov 2024,16 Jun 2026,,Options,PETRONET OPT 28/11/2024 CE 325,491250.00,1500.00,492750.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SUBISH P,Designated Person,Equity,1944,0.00,Equity,1894,537879.00,Sell,-,50,0.00,06 Mar 2025,13 Mar 2025,16 Jun 2026,Market Sale,,,,,,,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SUBISH P,Designated Person,Equity,50,0.00,Equity,1894,537615.00,Buy,-,1944,0.00,06 Mar 2025,13 Mar 2025,16 Jun 2026,Market Purchase,,,,,,,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SUBISH P,Designated Person,Equity,1850,0.00,Equity,1800,508637.00,Sell,-,50,0.00,30 Jan 2025,04 Mar 2025,16 Jun 2026,Market Sale,,,,,,,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SUBISH P,Designated Person,Equity,15,0.00,Equity,1835,510871.00,Buy,-,1850,0.00,30 Jan 2025,04 Mar 2025,16 Jun 2026,Market Purchase,,,,,,,NSE,16 Jun 2026
532522,Petronet LNG Ltd,RITA N JADAV,Designated Person,Derivative,,,Derivative,,,,-,,,01 Feb 2024,29 Feb 2024,15 Jun 2026,,Options,OPTSTK PETRONET Feb 29 2024 290.00 CE BT ,894900.00,3000.00,895650.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,RITA N JADAV,Designated Person,Derivative,,,Derivative,,,,-,,,01 Feb 2024,29 Feb 2024,15 Jun 2026,,Options,OPTSTK PETRONET Feb 29 2024 280.00 CE BT ,879150.00,3000.00,880550.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,RITA N JADAV,Designated Person,Derivative,,,Derivative,,,,-,,,01 Feb 2024,29 Feb 2024,15 Jun 2026,,Options,OPTSTK PETRONET Feb 29 2024 280.00 CE BT ,880050.00,3000.00,881850.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,RITA N JADAV,Designated Person,Derivative,,,Derivative,,,,-,,,01 Feb 2024,29 Feb 2024,15 Jun 2026,,Options,OPTSTK PETRONET Feb 29 2024 250.00 PE BT ,757350.00,3000.00,758700.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,03 Feb 2025,05 Feb 2025,16 Jun 2026,,Options,PETRONET OPT 27/02/2025 CE 320,485175.00,1500.00,491400.00,1500.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,SACHIN AGGARWAL,Designated Person,Derivative,,,Derivative,,,,-,,,06 Feb 2025,27 Feb 2025,16 Jun 2026,,Options,PETRONET OPT 27/02/2025 CE 325,987975.00,3000.00,975000.00,3000.00,NSE,16 Jun 2026
532522,Petronet LNG Ltd,RITA N JADAV,Designated Person,Equity,250,0.00,Equity,100,24507.00,Buy,-,350,0.00,20 Oct 2020,20 Oct 2020,15 Jun 2026,Market Purchase,,,,,,,NSE,16 Jun 2026
532522,Petronet LNG Ltd,RITA N JADAV,Designated Person,Equity,350,0.00,Equity,100,26366.00,Sell,-,250,0.00,01 Feb 2024,01 Feb 2024,15 Jun 2026,Market Sale,,,,,,,NSE,16 Jun 2026
